day,product_id,product_name,segment,wtp,price_paid,surplus,discount_applied
0,10,Craft IPA 6-pack,premium,13.894410249910468,9.600000000000001,4.294410249910467,0.2
0,13,Trail Mix 400g,mainstream,9.44437932601363,5.6000000000000005,3.8443793260136294,0.2
0,8,Plant-Based Burger 2pk,budget,7.803043819079349,7.6000000000000005,0.20304381907934843,0.2
0,1,Greek Yogurt 500g,premium,6.883200168607972,4.0,2.8832001686079716,0.2
0,8,Plant-Based Burger 2pk,mainstream,9.33243578269156,7.6000000000000005,1.7324357826915593,0.2
0,6,Atlantic Salmon 300g,mainstream,11.681177300882922,9.600000000000001,2.0811773008829206,0.2
0,1,Greek Yogurt 500g,budget,4.322721801699231,4.0,0.32272180169923104,0.2
0,3,Sourdough Bread,mainstream,5.373998559638263,4.4,0.9739985596382628,0.2
0,14,Protein Bar 6-pack,budget,8.188889430857284,6.800000000000001,1.388889430857283,0.2
0,10,Craft IPA 6-pack,premium,18.203463519832653,9.600000000000001,8.603463519832651,0.2
0,6,Atlantic Salmon 300g,mainstream,12.283059661312393,9.600000000000001,2.6830596613123916,0.2
0,12,Dark Chocolate Bar,premium,5.442665786783926,3.2,2.2426657867839257,0.2
0,9,Cabernet Sauvignon,mainstream,15.756445573648517,12.0,3.7564455736485165,0.2
0,7,Chicken Breast 500g,budget,7.2743668507978265,6.4,0.8743668507978262,0.2
0,7,Chicken Breast 500g,mainstream,7.920058300671248,6.4,1.5200583006712476,0.2
0,9,Cabernet Sauvignon,budget,13.380610886722174,12.0,1.3806108867221738,0.2
0,9,Cabernet Sauvignon,premium,19.8068035439612,12.0,7.806803543961198,0.2
0,13,Trail Mix 400g,mainstream,8.904424648458859,5.6000000000000005,3.304424648458858,0.2
0,7,Chicken Breast 500g,mainstream,8.654416073111358,6.4,2.254416073111358,0.2
0,8,Plant-Based Burger 2pk,premium,12.69268320217922,7.6000000000000005,5.092683202179219,0.2
0,9,Cabernet Sauvignon,premium,23.275454323555085,12.0,11.275454323555085,0.2
0,11,Sparkling Water 12pk,mainstream,6.322254410037343,4.800000000000001,1.522254410037342,0.2
0,1,Greek Yogurt 500g,budget,4.113190459853216,4.0,0.1131904598532163,0.2
0,9,Cabernet Sauvignon,mainstream,22.146982584061025,12.0,10.146982584061025,0.2
0,5,Whole Wheat Wrap 6pk,budget,2.883143175205806,2.8000000000000003,0.08314317520580561,0.2
0,6,Atlantic Salmon 300g,budget,12.076893017379184,9.600000000000001,2.476893017379183,0.2
0,9,Cabernet Sauvignon,mainstream,18.515781279372362,12.0,6.515781279372362,0.2
0,7,Chicken Breast 500g,mainstream,9.503056104078622,6.4,3.1030561040786218,0.2
0,14,Protein Bar 6-pack,premium,10.042751794562605,6.800000000000001,3.2427517945626043,0.2
0,4,Croissant 4-pack,budget,3.2047917297876425,3.2,0.004791729787642307,0.2
0,10,Craft IPA 6-pack,budget,11.334216809077436,9.600000000000001,1.7342168090774344,0.2
0,2,Cheddar Cheese 200g,mainstream,7.884937536079213,4.800000000000001,3.084937536079212,0.2
0,14,Protein Bar 6-pack,budget,7.396952185840311,6.800000000000001,0.5969521858403102,0.2
0,7,Chicken Breast 500g,budget,6.869992369241466,6.4,0.46999236924146537,0.2
0,7,Chicken Breast 500g,mainstream,10.88454932173086,6.4,4.48454932173086,0.2
0,8,Plant-Based Burger 2pk,budget,7.976459821970936,7.6000000000000005,0.3764598219709354,0.2
0,11,Sparkling Water 12pk,mainstream,8.577562766487882,4.800000000000001,3.777562766487881,0.2
0,0,Organic Milk 1L,mainstream,5.086519368548652,3.6,1.486519368548652,0.2
0,9,Cabernet Sauvignon,premium,23.701322239062304,12.0,11.701322239062304,0.2
0,1,Greek Yogurt 500g,mainstream,5.5549391095119836,4.0,1.5549391095119836,0.2
0,0,Organic Milk 1L,budget,3.9219119844285832,3.6,0.32191198442858315,0.2
0,4,Croissant 4-pack,premium,5.480817006217692,3.2,2.280817006217692,0.2
0,9,Cabernet Sauvignon,premium,21.312068430570104,12.0,9.312068430570104,0.2
0,1,Greek Yogurt 500g,budget,4.291541796069229,4.0,0.2915417960692288,0.2
0,13,Trail Mix 400g,budget,5.71509393447455,5.6000000000000005,0.11509393447454919,0.2
0,6,Atlantic Salmon 300g,mainstream,11.764333295898087,9.600000000000001,2.1643332958980857,0.2
0,13,Trail Mix 400g,budget,5.878864796762767,5.6000000000000005,0.27886479676276643,0.2
0,7,Chicken Breast 500g,budget,6.937138655896395,6.4,0.5371386558963946,0.2
0,1,Greek Yogurt 500g,budget,5.638347483837233,4.0,1.638347483837233,0.2
0,9,Cabernet Sauvignon,mainstream,14.895544050596097,12.0,2.895544050596097,0.2
0,10,Craft IPA 6-pack,mainstream,12.531483411614676,9.600000000000001,2.931483411614675,0.2
0,13,Trail Mix 400g,mainstream,8.883108628816647,5.6000000000000005,3.2831086288166462,0.2
0,13,Trail Mix 400g,mainstream,8.588503076416682,5.6000000000000005,2.9885030764166816,0.2
0,6,Atlantic Salmon 300g,mainstream,11.698360235366348,9.600000000000001,2.0983602353663464,0.2
0,6,Atlantic Salmon 300g,mainstream,13.706439303431122,9.600000000000001,4.10643930343112,0.2
0,7,Chicken Breast 500g,budget,7.839731970857311,6.4,1.439731970857311,0.2
